site_id,group,matched_treatment_site_id,control_rank,sensor,period_id,seq,half,period_start,period_end,has_latent,valid_pixel_fraction
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,after_P08,18,after,2025-01-03,2025-01-16,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,before_P01,1,before,2024-05-10,2024-05-23,True,0.8570728359964709
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,before_P02,2,before,2024-05-24,2024-06-06,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,before_P03,3,before,2024-06-07,2024-06-20,True,0.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,before_P06,6,before,2024-07-19,2024-08-01,True,0.5521027350259778
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,before_P07,7,before,2024-08-02,2024-08-15,True,0.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,after_P02,12,after,2024-10-11,2024-10-24,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,after_P03,13,after,2024-10-25,2024-11-07,True,0.0333300656798353
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,after_P06,16,after,2024-12-06,2024-12-19,True,0.9992157631604744
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,after_P07,17,after,2024-12-20,2025-01-02,True,0.2217429663758455
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,after_P08,18,after,2025-01-03,2025-01-16,True,0.0743064405450446
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel2,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,before_P02,2,before,2024-05-24,2024-06-06,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,before_P03,3,before,2024-06-07,2024-06-20,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,before_P06,6,before,2024-07-19,2024-08-01,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,before_P07,7,before,2024-08-02,2024-08-15,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,after_P02,12,after,2024-10-11,2024-10-24,False,
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,after_P03,13,after,2024-10-25,2024-11-07,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,after_P07,17,after,2024-12-20,2025-01-02,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,after_P08,18,after,2025-01-03,2025-01-16,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel1,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,before_P01,1,before,2024-05-10,2024-05-23,True,0.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,before_P02,2,before,2024-05-24,2024-06-06,True,0.4884815214194686
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,before_P03,3,before,2024-06-07,2024-06-20,True,0.2767375747475737
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,before_P05,5,before,2024-07-05,2024-07-18,True,0.8682482109597098
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,before_P06,6,before,2024-07-19,2024-08-01,True,0.7081658660915596
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,before_P07,7,before,2024-08-02,2024-08-15,True,0.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,after_P02,12,after,2024-10-11,2024-10-24,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,after_P03,13,after,2024-10-25,2024-11-07,True,0.7617880599941182
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,after_P06,16,after,2024-12-06,2024-12-19,True,0.6547397313988824
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,after_P07,17,after,2024-12-20,2025-01-02,True,0.5852367414959317
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,after_P08,18,after,2025-01-03,2025-01-16,True,0.0377413979021664
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0002_02,counterfactual,treatment_0002,2.0,sentinel2,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,before_P02,2,before,2024-05-24,2024-06-06,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,before_P03,3,before,2024-06-07,2024-06-20,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,before_P06,6,before,2024-07-19,2024-08-01,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,before_P07,7,before,2024-08-02,2024-08-15,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,after_P02,12,after,2024-10-11,2024-10-24,False,
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,after_P03,13,after,2024-10-25,2024-11-07,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,after_P07,17,after,2024-12-20,2025-01-02,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,after_P08,18,after,2025-01-03,2025-01-16,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel1,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,before_P01,1,before,2024-05-10,2024-05-23,True,0.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,before_P02,2,before,2024-05-24,2024-06-06,True,0.9774531908636408
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,before_P03,3,before,2024-06-07,2024-06-20,True,0.9950985197529654
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,before_P06,6,before,2024-07-19,2024-08-01,True,0.557788452112538
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,before_P07,7,before,2024-08-02,2024-08-15,True,0.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,after_P02,12,after,2024-10-11,2024-10-24,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,after_P03,13,after,2024-10-25,2024-11-07,True,0.9768650132339968
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,after_P07,17,after,2024-12-20,2025-01-02,True,0.3879031467503186
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,after_P08,18,after,2025-01-03,2025-01-16,True,0.1343005587687481
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0002_03,counterfactual,treatment_0002,3.0,sentinel2,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,before_P02,2,before,2024-05-24,2024-06-06,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,before_P03,3,before,2024-06-07,2024-06-20,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,before_P06,6,before,2024-07-19,2024-08-01,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,before_P07,7,before,2024-08-02,2024-08-15,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,after_P02,12,after,2024-10-11,2024-10-24,False,
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,after_P03,13,after,2024-10-25,2024-11-07,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,after_P07,17,after,2024-12-20,2025-01-02,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,after_P08,18,after,2025-01-03,2025-01-16,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel1,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,before_P02,2,before,2024-05-24,2024-06-06,True,0.1897853151651798
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,before_P03,3,before,2024-06-07,2024-06-20,True,0.979609842172336
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,before_P06,6,before,2024-07-19,2024-08-01,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,before_P07,7,before,2024-08-02,2024-08-15,True,0.9811783158513872
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,after_P02,12,after,2024-10-11,2024-10-24,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,after_P03,13,after,2024-10-25,2024-11-07,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,after_P05,15,after,2024-11-22,2024-12-05,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,after_P07,17,after,2024-12-20,2025-01-02,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,after_P08,18,after,2025-01-03,2025-01-16,True,0.170963631016567
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0002_04,counterfactual,treatment_0002,4.0,sentinel2,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,before_P02,2,before,2024-05-24,2024-06-06,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,before_P03,3,before,2024-06-07,2024-06-20,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,before_P06,6,before,2024-07-19,2024-08-01,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,before_P07,7,before,2024-08-02,2024-08-15,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,after_P02,12,after,2024-10-11,2024-10-24,False,
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,after_P03,13,after,2024-10-25,2024-11-07,True,1.0
counterfactual_0002_05,counterfactual,treatment_0002,5.0,sentinel1,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
